,,,,,,,,Events use case data from Prod ,,,Event Type data from Prod ,,,,,,,,"Account Details (Sales Model, Target Customers and departments)",,,ICP count data from Clay,,,,Hiring Signals from Clay,,,"ICP users from Prod by different event types
(Event personas only)",,,,ICP contacts not in prod,,,
18-digit Account Id,Account Name,Account Domain,Account Owner,Account Segment,ACV,Customer as of 2026-01-01,Event_Platform,Event type created from Prod,Use Case (2025),"Use case gap 
(Prod data and usecase 2025)",field_all_time,third_party_all_time,webinar_all_time,Standard_in-person,Standard_hybrid,Standard_virtual,standard_all_time,Adoption Health from Prod,Target Departments,Sales Model,Target Customers,Count_Conferences ICPs,Count_Field Events ICPs,Count_Webinar ICPs,Count_3PE ICPs,Conferences Hiring Count,Webinars Hiring,Field Events Hiring Count,Conference Users,Webinar Users,Field Events user,Third-Party Users,Conference Users,Webinar Users,Field Events user,Third-Party Users
0015i00000OrA0zAAF,Zenoti,zenoti.com,Brooks Marsi,Enterprise,32000,0,,In-person Conferences,Flagship; Webinars; Third-Party Events,Webinar; Third-Party Events,0,0,0,4,0,1,5,Yellow,"Operations,Marketing,Payments,Payroll & Commissions,Employee Management,Inventory Management,Business Intelligence,Employee Performance Management,Photo Manager",Sales-led,"Salon,Spa,Medspa,Fitness center,Barbershop",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
001J3000007RODZIA4,RUCKUS Networks,https://www.ruckusnetworks.com/,Brooks Marsi,Enterprise,70500,0,,Field Events; Third-Party Events; Webinar,Field Events; Webinars; Third-Party Events,Webinar,8,3,14,0,0,0,0,Yellow,"IT,Network,Security,Operations,Data",Sales-led,"Enterprise,Healthcare,Higher Education,Hospitality,Large Public Venues,Managed Service Providers,Manufacturing,Warehousing and Logistics,Multi-Dwelling Units,K-12 Education,Professional AV,Public Sector,Retail,Smart Cities / Community Wi‑Fi,State and Local Government",6,9,4,5,0,0,0,0,3,5,4,6,4,7,5
0015i00000LtMY7AAN,Bloomreach,bloomreach.com,Bhargav Prasad,Mid-Market,24000,1,Swoogo,Field Events; Third-Party Events; In-person Conferences,Flagship; Field Events; Webinars; Third-Party Events,Webinar,27,2,0,7,0,0,7,Yellow,"Marketing,Merchandising,E-commerce/Commerce,Digital teams,Data/Analytics",Sales-led,"Enterprise,Retail,Travel,Beauty,Fashion,Home goods,Grocery, Food & Beverages,Hospitality & Restaurants,Fintech,Telco,Media,Outdoor Equipment & Pets,Manufacturing,Ecommerce",3,13,5,1,1,0,1,6,0,8,0,0,4,9,0
0015i00000LtMZNAA3,Riskified,riskified.com,Brooks Marsi,Mid-Market,46000,1,RainFocus,Third-Party Events; In-person Conferences,Flagship; Field Events; Third-Party Events,Field Events,0,9,0,4,0,0,4,Yellow,"Fraud,Risk,Ecommerce,Finance,Product,Customer Service,Loss Prevention,Payments",Sales-led,"Enterprise,Ecommerce,Retail,Luxury fashion,Travel,Digital goods,Athletic & outdoors,Home & Electronics,Footwear,Marketplace,Gift cards & Remittance,Beauty & Accessories",2,5,4,0,0,0,1,1,0,0,1,2,3,5,0
0015i00000RpsFsAAJ,Zip (ziphq.com),ziphq.com,Mark Whalen,Mid-Market,34650,1,,Field Events; Webinar; In-person Conferences,Flagship; Field Events; Webinars; Third-Party Events,Webinar; Third-Party Events,80,0,9,6,0,1,7,Green,"Procurement,Finance,Accounting,IT & Security,Legal",Sales-led,"Startups,Mid-market,Enterprise,Life sciences,Financial services,Technology,Professional services",2,4,2,0,1,0,0,1,2,5,0,0,0,0,0
0015i00000RpsH2AAJ,Superside,superside.com,Brooks Marsi,Mid-Market,30000,1,Goldcast,No Events data found,Webinars,Webinar,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Green,"Marketing,Creative,Brand,Product Marketing,Creative Operations",Sales-led,"Startups,Scale-ups,Mid-market,Enterprise,SaaS,Healthcare,High-tech,Food",2,4,4,0,2,1,0,0,0,0,0,2,4,4,0
0015i00000RpsLsAAJ,Ashby,ashbyhq.com,Bhargav Prasad,Mid-Market,49540,1,Luma,Field Events; Third-Party Events; Webinar; In-person Conferences; Hybrid Conferences; Virtual Conferences,Flagship; Webinars,Webinar,24,2,53,33,2,6,41,Green,"Sourcers,Recruiters,Recruiting Managers,Hiring Managers,Recruiting Coordinators,Interviewers,Candidates",Hybrid,"Startups,Mid-market,Enterprise,Retail",2,0,2,0,4,1,0,7,7,11,0,0,0,0,0
0015i00000UgUCmAAN,Contentstack,contentstack.com,Brooks Marsi,Mid-Market,56600,1,Bizzabo,Webinar; In-person Conferences; Hybrid Conferences,Flagship; Webinars; Third-Party Events,Webinar; Third-Party Events,0,0,36,3,11,0,14,Green,"Developers,IT,Business users,Digital leaders,Marketing",Hybrid,"Enterprise,Retail,Travel and tourism,Financial services,Technology,Manufacturing,E-commerce",0,4,1,0,0,0,0,1,5,0,0,0,0,4,0
0015i00000Y44glAAB,Grafana Labs,grafana.com,Bhargav Prasad,Enterprise,27000,1,Tito,Webinar; In-person Conferences; Hybrid Conferences; Virtual Conferences,Flagship; Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,1,0,4,49,6,6,61,Green,Developers,Hybrid,"SMBs,Mid-market,Enterprise",7,12,13,1,0,3,2,4,3,0,0,4,13,4,1
0015i00000mmG9hAAE,Cribl,cribl.io,Brooks Marsi,Mid-Market,45000,0,Swoogo,In-person Conferences,Flagship; Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,0,4,0,0,4,Yellow,"IT,Security,SREs,Engineering (Developers),Analysts",Sales-led,"Enterprise,IT & Security,Observability,Data & Analytics",3,16,7,0,0,0,0,3,0,0,0,2,6,15,0
0015i00000r9Yz2AAE,CreatorIQ,creatoriq.com,Brooks Marsi,Mid-Market,18350,1,Bizzabo,Webinar; In-person Conferences; Virtual Conferences,Flagship; Webinars; Third-Party Events,Webinar; Third-Party Events,0,0,6,41,1,21,63,Green,"Marketing,Social,Influencer Marketing,Brand,Advertising",Sales-led,"Enterprise,Brands,Agencies",2,1,2,0,0,0,0,2,1,0,0,1,2,0,0
0015i00000xSt2RAAS,"Gallup, Inc.",gallup.com,Mark Whalen,Enterprise,57500,1,,In-person Conferences; Hybrid Conferences; Virtual Conferences,Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,0,9,20,5,34,Yellow,"HR professionals,Leaders,Managers,Learning & Development",Hybrid,"Individuals,Teams,Managers,Organizations,Large teams or organizations,Educators,Students",2,1,4,0,1,0,0,3,0,0,0,1,4,1,0
0015i00000xUia6AAC,Semantic Web,semantic-web.com,Bhargav Prasad,Commercial,8000,1,,Virtual Conferences,Flagship,,0,0,0,0,0,5,5,Red,"Data,Knowledge Management,Metadata Management,Content",Hybrid,"Insurance,Advertising and Communication,Agriculture,Biotechnology,Consulting,Associations,Computer Software & IT Services,Aviation,Banking,Broadcasting Media,Chemicals,Construction & Infrastructure,Cultural Heritage (GLAM),Engineering,Consumer Goods,Defense and Space,Education,Hospitality,Entertainment,Healthcare,Legal Services,Leisure, Travel and Tourism,Medical Devices,Libraries,Life Sciences,Oil and Gas,Logistics and Supply Chain,Machinery,Mining,Accounting,Other,Media Production,Non Profit Organization,Online Media,Pharmaceuticals,Real Estate,Retail, Ecommerce and Multichannel,Social Media,STM Publishing,Academic & Research,Telecommunications,Energy & Utilities,Financial Services,Manufacturing,Media & Publishing,Government & Public Services",2,2,5,1,0,0,0,0,0,0,0,1,3,1,0
0015i000015ZHq8AAG,Motive,gomotive.com,Brooks Marsi,Enterprise,101550,1,Zuddl,Field Events; Third-Party Events; In-person Conferences; Hybrid Conferences; Virtual Conferences,Flagship; Field Events; Webinars; Third-Party Events,Webinar,164,196,1,15,8,6,29,Green,"Operations,Fleet Management,Drivers,Safety,Maintenance,Compliance,Finance,HR,IT,Data",Sales-led,"Small Business,Enterprise,Construction,Field Service,Food & Beverage,Oil & Gas,Passenger Transit,Delivery,Agriculture,Utilities & Telecom,Waste & Recycling,Trucking & Logistics",3,11,12,0,0,0,0,2,0,12,3,1,10,2,0
0015i000015ZgwfAAC,Quantum Metric,quantummetric.com,Brooks Marsi,Mid-Market,46200,1,Unknown,Field Events; Webinar; In-person Conferences; Virtual Conferences,Flagship; Webinars,Webinar,13,0,2,6,0,10,16,Green,"Product,IT & Engineering,Marketing & Merchandising,Analytics,CX & VoC,UX,Service & Support,Customer Operations,Business Operations,UX Operations,Developer Operations",Sales-led,Enterprise,1,2,0,1,0,0,0,0,0,3,0,0,0,0,0
0015i000015btJPAAY,PDF Solutions,pdf.com,Brooks Marsi,Mid-Market,22700,1,,Field Events; Webinar; In-person Conferences,Flagship; Field Events; Webinars; Third-Party Events,Webinar; Third-Party Events,2,0,2,4,1,0,5,Red,"Product,Engineering,Operations,Manufacturing,Test,Assembly,Quality,IT,Data",Sales-led,"Foundries,IDMs,OSATs,Fabless,Semiconductor,Electronics,Battery Manufacturing",0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0015i000018r59UAAQ,Finalsite,finalsite.com,Brooks Marsi,Mid-Market,36000,1,Whova,Field Events; In-person Conferences; Virtual Conferences,Flagship; Webinars,Webinar,39,0,1,14,0,2,16,Green,"Field required [type=missing, input_value={}, input_type=dict]",,"Field required [type=missing, input_value={}, input_type=dict]",2,0,1,0,0,0,0,5,0,5,0,2,1,0,0
001J3000008FMzEIAW,Side,side.com,Mark Whalen,Mid-Market,37944,1,Swoogo,In-person Conferences,Flagship; Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,0,16,0,0,16,Green,"Marketing,Business Management,Transaction Management,Systems,Tech Support,Recruiting,Back‑office Support",Sales-led,"Top‑producing agents,Teams,Independent brokerages,Real Estate",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
001J300000B3KFdIAN,Turnitin,turnitin.com,Brooks Marsi,Mid-Market,119400,1,Bizzabo,Field Events; Webinar; Virtual Conferences,Flagship; Field Events; Webinars; Third-Party Events,Webinar; Third-Party Events,21,0,71,1,0,3,4,Green,"Information Technology,Faculty/Teaching,Research,Library,Legal,Finance,Procurement,Quality Assurance,Assessment/Compliance,Executive Leadership",Sales-led,"Higher Education,Secondary Education,Corporate & Government,Researchers,Publishers,Certification & licensure",2,7,3,0,0,0,1,7,7,12,0,0,2,3,0
001J300000HN5T7IAL,Upsun,upsun.com,Brooks Marsi,Mid-Market,25750,0,,Field Events; Third-Party Events,Tier 2 and 3 Conferences; Third-Party Events,Conferences,3,10,0,1,0,0,1,Yellow,"Developers,DevOps,Platform engineering",Hybrid,"Financial services,Government,SaaS,Manufacturing,Higher education,Travel & hospitality,Retail,Healthcare,eCommerce/CMS,Enterprise,Growth companies",2,1,2,1,0,0,0,0,0,2,2,1,2,1,1
001J300000L7f2sIAB,Singular,singular.net,Brooks Marsi,Mid-Market,22000,1,,Field Events,Webinars; Third-Party Events,Webinar; Third-Party Events,13,0,0,0,0,0,0,Green,"Marketing,Growth,Data",Hybrid,"SMBs,Mid-market,Enterprise,Retail,Fintech,Mobile & Web apps,Gaming,E-commerce",3,3,3,3,0,0,0,0,0,2,0,1,1,1,1
001fu00000Hv9TZAAZ,Medway,medway.com.br,Bhargav Prasad,Mid-Market,20000,1,,Webinar; In-person Conferences; Hybrid Conferences,,,1,0,2,133,2,1,136,Green,"Medical Students,Residents,Physicians",PLG,"Medical students,Prospective medical residents,Healthcare,Medical education",2,0,1,0,0,1,0,0,0,0,0,2,1,0,0
001fu00000IULVZAA5,Apree Health,apreehealth.com,Brooks Marsi,Mid-Market,33800,1,,Field Events; Third-Party Events; Webinar; In-person Conferences,Webinars; Third-Party Events,Webinar,6,15,6,3,0,0,3,Green,,Sales-led,"Employers,Health plans,Financial services",0,0,1,0,0,0,0,3,0,3,3,0,1,0,0
0015i00000LtrOiAAJ,ScienceLogic,sciencelogic.com,Brooks Marsi,Mid-Market,32500,1,HubSpot Forms,Webinar; In-person Conferences; Virtual Conferences,Flagship; Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,3,4,0,2,6,Red,"IT Operations,Network Operations,DevOps,Security,ITSM,Business Services,Monitoring / Observability",Hybrid,"Enterprise,Managed Service Providers (MSPs),Public Sector,Federal,Financial Services,SaaS,Media,Hybrid Cloud",0,2,4,0,0,0,1,1,3,0,0,0,1,0,0
0015i00000RpsNdAAJ,Consensus,goconsensus.com,Bhargav Prasad,Mid-Market,39700,1,BigMarker,Field Events; Webinar; In-person Conferences; Virtual Conferences,Tier 2 and 3 Conferences; Webinars; Third-Party Events,Webinar; Third-Party Events,4,1,3,7,1,2,10,Green,"Presales,Sales,Marketing,Customer Success,Channel,Product,Engineering",Sales-led,"SMBs,Mid-market,Enterprise,Software/SaaS,Construction and Engineering",2,0,3,0,0,0,0,0,0,1,0,1,3,0,0
001J300000L4VdSIAV,Sonar,sonarsource.com,Bhargav Prasad,Mid-Market,35000,1,Zoom,Field Events; Webinar; In-person Conferences; Virtual Conferences,Tier 2 and 3 Conferences; Field Events; Webinars; Third-Party Events,Webinar; Third-Party Events,9,0,5,30,1,63,94,Green,"Developers,Platform engineering,DevOps,Security",Hybrid,"Developers,Teams and businesses,Enterprise,Healthcare,Financial services,Retail,Federal government",2,4,5,1,0,0,0,2,4,8,0,1,3,0,0
